identity_id,termination_date
EMP053,2025-07-24
EMP176,2025-07-11
EMP044,2025-11-15
SVC009,2025-10-02
EMP089,2025-12-16
EMP021,2026-06-10
EMP127,2025-12-16
CTR025,2026-01-12
SVC019,2026-03-19
SVC018,2026-03-02
EMP082,2025-12-27
EMP187,2025-10-14
EMP191,2026-03-13
EMP145,2026-02-24
EMP199,2026-04-10
CTR010,2026-04-01
EMP174,2026-05-11
EMP027,2026-01-19
EMP172,2026-04-29
EMP034,2025-10-03
EMP169,2025-09-16
EMP049,2025-09-23
SVC036,2026-05-31
EMP198,2025-07-16
EMP146,2025-12-29
EMP130,2025-08-07
EMP077,2026-04-13
EMP171,2025-08-18
EMP042,2025-12-09
SVC049,2026-04-02
EMP073,2026-03-28
EMP180,2026-03-19
EMP159,2025-06-30
CTR001,2025-08-04
EMP067,2026-03-27
SVC037,2025-11-07
EMP193,2026-05-28
EMP066,2025-11-21
SVC020,2025-12-15
EMP048,2025-07-08
