timestamp,identity_id,resource,action
2024-12-21 18:16:00,EMP001,firewall.rules,WRITE
2024-12-21 13:39:00,EMP001,dns.internal,READ
2024-12-10 20:34:00,EMP001,github.enterprise,MODIFY
2024-12-26 15:15:00,EMP001,hr_database.salaries,MODIFY
2024-12-03 09:29:00,EMP001,customer-data,MODIFY
2024-12-14 05:28:00,EMP001,ad_groups,LIST
2024-12-05 10:38:00,EMP002,okta_apps,EXECUTE
2024-12-12 23:55:00,EMP002,hr_database.performance_reviews,LIST
2024-12-18 11:32:00,EMP002,aws_iam,READ
2024-12-04 07:29:00,EMP002,hr_database.performance_reviews,EXECUTE
2024-12-04 07:09:00,EMP002,source-code,READ
2024-12-20 12:55:00,EMP002,hr_database.salaries,LIST
2024-12-11 05:52:00,EMP002,okta_groups,DELETE
2024-12-06 06:48:00,EMP002,hr_database.performance_reviews,LIST
2024-12-10 14:31:00,EMP002,jira.projects,LIST
2024-12-17 02:25:00,EMP002,ad_users,LIST
2024-12-12 06:37:00,EMP002,okta_groups,READ
2024-12-20 09:31:00,EMP002,ad_groups,MODIFY
2024-12-18 15:18:00,EMP002,ssl.certificates,READ
2024-12-09 13:08:00,EMP002,aws_ec2,MODIFY
2024-12-02 12:23:00,EMP002,financial-records,LIST
2024-12-07 18:35:00,EMP002,ad_groups,EXECUTE
2024-12-13 09:04:00,EMP002,confluence.wiki,DELETE
2024-12-27 17:17:00,EMP002,source-code,DELETE
2024-12-05 19:07:00,EMP002,ssl.certificates,READ
2024-12-12 10:35:00,EMP003,financial-records,WRITE
2024-12-13 19:32:00,EMP003,okta_apps,DELETE
2024-12-05 01:02:00,EMP003,ad_groups,MODIFY
2024-12-15 15:33:00,EMP003,hr_database.performance_reviews,WRITE
2024-12-11 16:08:00,EMP003,vpn.gateway,DELETE
2024-12-20 05:25:00,EMP003,hr_database.performance_reviews,MODIFY
2024-12-17 18:21:00,EMP003,hr_database.salaries,DELETE
2024-12-19 15:45:00,EMP003,confluence.wiki,EXECUTE
2024-12-11 00:23:00,EMP003,github.enterprise,MODIFY
2024-12-10 13:37:00,EMP003,aws_ec2,MODIFY
2024-12-16 00:38:00,EMP003,firewall.rules,EXECUTE
2024-12-08 18:36:00,EMP003,firewall.rules,MODIFY
2024-12-06 18:30:00,EMP003,ad_groups,DELETE
2024-12-25 23:39:00,EMP003,firewall.rules,LIST
2024-12-02 21:15:00,EMP003,aws_iam,DELETE
2024-12-15 06:01:00,EMP003,aws_ec2,EXECUTE
2024-12-23 04:26:00,EMP003,production-secrets,WRITE
2024-12-16 19:58:00,EMP004,jira.projects,MODIFY
2024-12-17 22:08:00,EMP004,ad_groups,WRITE
2024-12-16 10:42:00,EMP004,confluence.wiki,DELETE
2024-12-15 10:11:00,EMP004,customer-data,DELETE
2024-12-22 17:22:00,EMP004,hr_database.performance_reviews,MODIFY
2024-12-23 20:51:00,EMP004,ssl.certificates,EXECUTE
2024-12-08 15:12:00,EMP004,vpn.gateway,EXECUTE
2024-12-10 09:14:00,EMP004,confluence.wiki,EXECUTE
2024-12-16 22:45:00,EMP004,okta_apps,EXECUTE
2024-12-26 11:35:00,EMP004,github.enterprise,MODIFY
2024-12-19 09:07:00,EMP004,hr_database.employees,MODIFY
2024-12-13 12:57:00,EMP004,confluence.wiki,EXECUTE
2024-12-10 09:02:00,EMP004,aws_iam,MODIFY
2024-12-15 11:59:00,EMP004,aws_s3_bucket,MODIFY
2024-12-07 23:30:00,EMP004,hr_database.employees,WRITE
2024-12-18 08:59:00,EMP004,confluence.wiki,MODIFY
2024-12-20 04:06:00,EMP004,hr_database.employees,MODIFY
2024-12-02 07:15:00,EMP004,dns.internal,MODIFY
2024-12-02 20:14:00,EMP005,okta_groups,READ
2024-12-16 10:45:00,EMP005,production-secrets,READ
2024-12-18 04:00:00,EMP005,ssl.certificates,WRITE
2024-12-16 20:59:00,EMP005,production-secrets,LIST
2024-12-10 06:48:00,EMP005,firewall.rules,EXECUTE
